"time","POACTPQM1T_kW","POACTPQM2_kW","POACTPQM3_kW","FREQPQM1_Hz","FREQPQM2_Hz","VABPQM1T_volt","VBCPQM1T_volt","VCAPQM1T_volt","VABPQM2_volt","VBCPQM2_volt","VCAPQM2_volt","VABPQM3_volt","VBCPQM3_volt","VCAPQM3_volt","AMPAPQM1T_amp","AMPBPQM1T_amp","AMPCPQM1T_amp","AMPAPQM2_amp","AMPBPQM2_amp","AMPCPQM2_amp","AMPAPQM3_amp","AMPBPQM3_amp","AMPCPQM3_amp","PORETPQM1T_kvar","PORETPQM2_kvar","PORETPQM3_kvar","FPTPQM1T","FPTPQM2","FPTPQM3","DESVMPM1_%","DESAMPM1_%","DESVMPM2_%","DESAMPM2_%","DESVMPM3_%","DESAMPM3_%","THDVTPQM1T","THDITPQM1T","THDI11PQM1","THDI3PQM1","THDI5PQM1","THDI7PQM1","THDI9PQM1","THDITPQM1","THDV11PQM1","THDV3PQM1","THDV5PQM1","THDV7PQM1","THDV9PQM1","THDVTPQM1","TEMPTUBXIN_degF","PDP_PSIG","PIP_PSIG","TPMOTOR_degF","HORAS_ON","HORAS_OFF","HORAS_TOT","POT_HID","VOLUMEN_LIQUIDO","AGUA","CRUDO","POTENCIAMOTOR","GAS","BSW"
2023-01-09 15:18:00,469.8,450,429.2,60,NA,488.55,488.8,NA,414.6,414.1,414.8,2719,2693,2682,611.6,NA,614.5,760.4,838.1,806.2,112.3,NA,NA,97.7,358.3,346.7,89.9,NA,77.7,NA,NA,NA,5.13577577244562,1.54043645699615,NA,23,42.8,3,0.7,38.8,10.7,4.8,41,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.21106488318,NA,NA
2023-01-09 15:21:00,468.9,448.3,426.6,60,NA,487.25,487.45,486.25,414.9,414.4,415.2,2721,2695,2685,NA,628.8,616.1,760,837.8,805.6,NA,123,NA,92.5,360.6,350.2,89.7,77.8,77.2,0.195625111150635,NA,0.208768267223382,5.13439294333028,1.53944836433611,NA,9,42.75,3.1,0.9,37.4,10.4,4.1,40.5,NA,NA,NA,NA,NA,9.4,200.73,2452.6,998.5,255.1,NA,NA,NA,244.291579224839,NA,NA,NA,396.355500680179,NA,NA
2023-01-09 15:24:00,469.3,450.6,427.6,60,NA,488.65,488.75,487.65,414.6,414.1,414.8,2719,2694,2682,NA,627.2,614.9,760.1,NA,806,NA,123.1,NA,93.4,357.4,348.7,NA,78.3,77.4,0.159602766447948,NA,0.194986072423399,NA,1.51936657393538,NA,23.1,42.9,NA,NA,38.8,10.7,4.9,41,NA,NA,NA,NA,NA,22.4,200.73,2452.6,998.5,255.1,NA,NA,NA,245.182056316497,NA,NA,NA,395.101791118182,NA,NA
2023-01-09 15:27:00,469.1,449.2,426.3,60,NA,NA,489.05,487.9,414.8,414.4,415.1,2721,2695,2684,610.8,627.1,614.1,760,837.9,NA,NA,123,118.7,91.9,359.7,350.6,NA,78,77.1,0.18317182699125,1.58207343412527,0.18095768374165,NA,NA,NA,8.9,43.1,3.5,NA,38.3,10.9,4.5,40.8,NA,NA,NA,NA,NA,9.3,200.72,2453.3,998.6,252.6,NA,NA,NA,245.498698489554,NA,NA,NA,397.448844038886,NA,NA
2023-01-09 15:30:00,NA,450.4,427.8,60,NA,487.6,488.05,486.7,414.6,414.1,414.9,2719,2693,2683,612.4,628.2,615,760.3,837.8,805.7,NA,NA,NA,99.7,357.4,348.2,89.75,78.3,77.4,0.254663902872383,1.56283681827981,0.208942749686574,5.11273816457278,NA,NA,23.2,43.1,3.1,0.8,38.7,10.7,4.9,40.9,NA,NA,NA,NA,NA,22.3,200.72,2452.9,998.8,253.3,NA,NA,NA,244.459125913095,NA,NA,NA,395.952534564734,NA,NA
2023-01-09 15:33:00,469.4,448.6,426.8,60,56.9,487.3,487.65,486.4,NA,NA,414.8,2720,NA,2682,612.6,628.5,615.7,760.4,838.2,805.8,112.4,123.1,NA,92.7,359.9,349.7,NA,77.9,77.2,NA,1.54566996984059,NA,5.12393944435201,NA,NA,23.15,42.65,3.4,1.8,38.2,11.9,4.7,40.8,NA,NA,NA,NA,NA,22.5,200.8,2454.4,998.6,253.1,NA,NA,NA,244.289350063443,NA,NA,NA,397.234048297666,NA,NA
2023-01-09 15:36:00,469.5,450,426.6,60,57,487.4,487.65,486.45,414.7,414.2,415,NA,2694,2684,612.4,628.5,616,760.1,838,805.9,112.3,NA,NA,98.4,358.4,349.9,NA,78.2,NA,NA,1.54020141095374,NA,5.14559068219634,NA,NA,8.85,42.75,3.5,0.9,38.3,10.9,4.5,40.6,NA,NA,NA,NA,NA,9.2,200.8,2453.8,998.5,253.5,NA,NA,NA,244.738640152866,NA,NA,NA,395.422292202386,NA,NA
2023-01-09 15:39:00,NA,448.2,426.9,60,NA,487.1,487.05,485.9,414.6,NA,414.9,NA,NA,2683,NA,NA,615.4,760.2,837.9,NA,NA,123,NA,97.5,360.6,349.4,NA,77.8,77.3,0.172014947505789,NA,NA,NA,NA,NA,23.05,42.7,3.3,1.7,38,11.8,4.7,40.9,NA,NA,NA,NA,NA,22.3,200.66,NA,998.5,253.5,NA,NA,NA,245.491940376086,NA,NA,NA,396.979246871142,NA,NA
2023-01-09 15:42:00,469.4,448,427.9,60,56.9,487.35,487.3,486.25,NA,NA,NA,NA,2693,NA,612.7,NA,NA,760,837.8,806.1,112.4,NA,NA,93.4,360.8,348.3,NA,NA,77.4,0.171923168129007,NA,NA,5.15412454761014,NA,NA,8.9,42.95,3.4,0.9,38.1,10.9,4.4,40.7,NA,NA,NA,NA,NA,9.3,200.74,2453.6,998.7,253.8,NA,NA,NA,243.978586506616,NA,NA,NA,394.788015730609,NA,NA
2023-01-09 15:45:00,NA,451,428,60,57,487.1,487.35,486.15,414.7,NA,NA,NA,2694,NA,612.8,629.1,NA,759.8,837.7,805.8,112.3,123.1,118.8,96.3,356.8,NA,89.95,78.4,NA,0.201612903225805,NA,NA,5.15541130944952,NA,4.88424618859401,23.35,43.05,3,1,38.5,10.5,4.8,41,NA,NA,NA,NA,NA,22.6,200.74,2452.9,998.3,252.8,NA,NA,NA,245.781826289471,NA,NA,NA,398.067061801682,NA,NA
